name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_costfor_two_people,listed_intype,listed_incity
Jalsa,1,1,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari
Spice Elephant,1,0,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari
San Churro Cafe,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Buffet,Banashankari
Addhuri Udupi Bhojana,0,0,3.7,88,Banashankari,Quick Bites,"South Indian, North Indian",300.0,Buffet,Banashankari
Grand Village,0,0,3.8,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600.0,Buffet,Banashankari
Timepass Dinner,1,0,3.8,286,Basavanagudi,Casual Dining,North Indian,600.0,Buffet,Banashankari
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari
Onesta,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Banashankari
Penthouse Cafe,1,0,4.0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700.0,Cafes,Banashankari
Smacznego,1,0,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,Banashankari,Cafe,Cafe,500.0,Cafes,Banashankari
Cafe Shuffle,1,1,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600.0,Cafes,Banashankari
The Coffee Shack,1,1,4.2,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari
Caf-Eleven,0,0,4.0,424,Banashankari,Cafe,"Cafe, Continental",450.0,Cafes,Banashankari
Cafe Vivacity,1,0,3.8,90,Banashankari,Cafe,Cafe,650.0,Cafes,Banashankari
Catch-up-ino,1,0,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari
Kirthi's Biryani,1,0,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari
T3H Cafe,0,0,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300.0,Cafes,Banashankari
360 Atoms Restaurant And Cafe,1,0,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari
The Vintage Cafe,1,0,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400.0,Cafes,Banashankari
Woodee Pizza,1,0,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari
Cafe Coffee Day,0,0,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari
My Tea House,1,0,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari
Hide Out Cafe,0,0,3.7,31,Banashankari,Cafe,Cafe,300.0,Cafes,Banashankari
CAFE NOVA,0,0,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari
Coffee Tindi,1,0,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200.0,Cafes,Banashankari
Sea Green Cafe,0,0,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari
Cuppa,0,0,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari
Srinathji's Cafe,0,0,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari
Redberrys,1,0,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600.0,Cafes,Banashankari
Foodiction,1,0,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari
Sweet Truth,1,0,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari
Ovenstory Pizza,1,0,3.9,172,Banashankari,Delivery,Pizza,750.0,Delivery,Banashankari
Faasos,1,0,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari
Behrouz Biryani,1,0,3.9,230,Banashankari,Delivery,Biryani,650.0,Delivery,Banashankari
Fast And Fresh,1,0,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari
Szechuan Dragon,1,0,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery,Banashankari
Empire Restaurant,1,0,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari
Maruthi Davangere Benne Dosa,1,0,4.0,17,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari
Chaatimes,1,0,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari
Havyaka Mess,0,0,3.9,28,Banashankari,Mess,South Indian,300.0,Delivery,Banashankari
McDonald's,1,0,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500.0,Delivery,Banashankari
Domino's Pizza,1,0,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,Delivery,Banashankari
Hotboxit,0,0,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400.0,Delivery,Banashankari
Kitchen Garden,1,0,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0,Delivery,Banashankari
Recipe,1,0,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari
Beijing Bites,1,0,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850.0,Delivery,Banashankari
Tasty Bytes,1,0,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari
Petoo,0,0,3.7,21,Banashankari,Quick Bites,North Indian,450.0,Delivery,Banashankari
Shree Cool Point,1,0,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari
